#name:O'Neill recon run with Ling
#date:2018-01-15
#time:16-57-22
Elevation,Latitude,Longitude,Timestamp
275.6,33.650439,-117.603657,2018-01-15 16:57:22
275.4,33.650415,-117.603653,2018-01-15 16:57:23
274.5,33.650335,-117.603625,2018-01-15 16:57:28
274.1,33.650291,-117.603601,2018-01-15 16:57:30
273.9,33.650272,-117.603588,2018-01-15 16:57:31
273.5,33.650235,-117.603552,2018-01-15 16:57:32
273.2,33.650216,-117.603533,2018-01-15 16:57:33
273.0,33.650196,-117.603515,2018-01-15 16:57:34
272.6,33.650157,-117.603479,2018-01-15 16:57:37
272.4,33.650135,-117.603462,2018-01-15 16:57:38
271.9,33.650088,-117.603428,2018-01-15 16:57:40
271.5,33.650041,-117.60339,2018-01-15 16:57:41
271.1,33.650002,-117.603352,2018-01-15 16:57:44
270.6,33.649962,-117.603312,2018-01-15 16:57:45
270.4,33.649943,-117.603291,2018-01-15 16:57:46
270.2,33.649924,-117.603271,2018-01-15 16:57:47
270.0,33.649907,-117.603249,2018-01-15 16:57:49
269.7,33.649875,-117.603212,2018-01-15 16:57:50
269.7,33.649875,-117.603212,2018-01-15 16:57:51
269.0,33.649808,-117.603131,2018-01-15 16:57:55
268.0,33.649747,-117.603006,2018-01-15 16:58:00
267.8,33.649736,-117.60298,2018-01-15 16:58:01
267.7,33.649726,-117.602953,2018-01-15 16:58:02
267.5,33.649716,-117.602929,2018-01-15 16:58:03
267.1,33.649679,-117.602858,2018-01-15 16:58:06
267.0,33.649613,-117.602638,2018-01-15 16:58:14
267.0,33.649598,-117.602544,2018-01-15 16:58:17
267.2,33.649593,-117.602306,2018-01-15 16:58:25
267.4,33.649635,-117.602165,2018-01-15 16:58:30
267.4,33.649642,-117.60211,2018-01-15 16:58:31
267.4,33.649642,-117.60211,2018-01-15 16:58:32
267.5,33.649645,-117.602029,2018-01-15 16:58:35
267.7,33.649692,-117.60192,2018-01-15 16:58:41
267.6,33.649658,-117.60196,2018-01-15 16:58:42
267.4,33.649601,-117.602167,2018-01-15 16:58:50
267.1,33.649544,-117.602371,2018-01-15 16:58:57
267.0,33.649566,-117.602612,2018-01-15 16:59:05
267.0,33.64964,-117.602816,2018-01-15 16:59:14
267.3,33.649782,-117.602685,2018-01-15 16:59:21
267.7,33.649877,-117.602496,2018-01-15 16:59:28
268.0,33.64995,-117.602274,2018-01-15 16:59:36
268.2,33.650067,-117.602096,2018-01-15 16:59:45
268.2,33.650077,-117.602074,2018-01-15 16:59:53
268.1,33.649978,-117.602221,2018-01-15 17:00:46
268.0,33.649946,-117.602299,2018-01-15 17:00:49
267.9,33.64995,-117.602389,2018-01-15 17:00:52
267.9,33.649961,-117.60242,2018-01-15 17:00:53
267.8,33.649972,-117.60245,2018-01-15 17:00:54
267.8,33.649977,-117.60248,2018-01-15 17:00:55
267.7,33.649979,-117.602509,2018-01-15 17:00:56
267.7,33.649972,-117.602565,2018-01-15 17:00:58
267.5,33.649957,-117.602695,2018-01-15 17:01:02
267.3,33.64992,-117.6028,2018-01-15 17:01:06
267.9,33.649824,-117.602911,2018-01-15 17:01:11
267.9,33.649809,-117.602936,2018-01-15 17:01:12
268.9,33.649822,-117.603111,2018-01-15 17:01:18
269.8,33.649914,-117.603178,2018-01-15 17:01:22
271.4,33.650071,-117.6033,2018-01-15 17:01:30
273.2,33.65024,-117.603438,2018-01-15 17:01:38
274.2,33.650321,-117.603501,2018-01-15 17:01:42
274.4,33.650338,-117.603517,2018-01-15 17:01:43
275.5,33.650433,-117.603584,2018-01-15 17:01:48
277.4,33.650618,-117.603626,2018-01-15 17:01:57
278.5,33.650776,-117.603658,2018-01-15 17:02:05
279.0,33.650851,-117.603668,2018-01-15 17:02:09
279.3,33.650889,-117.603684,2018-01-15 17:02:11
279.7,33.650946,-117.603712,2018-01-15 17:02:14
281.1,33.65108,-117.603872,2018-01-15 17:02:23
282.7,33.651213,-117.604026,2018-01-15 17:02:32
285.0,33.651394,-117.604121,2018-01-15 17:02:41
288.6,33.651575,-117.604113,2018-01-15 17:02:50
289.4,33.651606,-117.604122,2018-01-15 17:02:54
291.9,33.651701,-117.604141,2018-01-15 17:03:01
294.0,33.651765,-117.604078,2018-01-15 17:03:10
294.2,33.651758,-117.604074,2018-01-15 17:03:14
296.4,33.651856,-117.604055,2018-01-15 17:03:23
297.5,33.651899,-117.604042,2018-01-15 17:03:27
298.7,33.65195,-117.60402,2018-01-15 17:03:32
299.8,33.651989,-117.603997,2018-01-15 17:03:38
301.8,33.652082,-117.603987,2018-01-15 17:03:52
302.4,33.652109,-117.60399,2018-01-15 17:03:56
302.8,33.652129,-117.603979,2018-01-15 17:03:59
305.2,33.65229,-117.603975,2018-01-15 17:04:14
306.3,33.652364,-117.603938,2018-01-15 17:04:19
307.4,33.652431,-117.603897,2018-01-15 17:04:23
308.0,33.652474,-117.60387,2018-01-15 17:04:26
308.2,33.652486,-117.603861,2018-01-15 17:04:28
308.9,33.652528,-117.603844,2018-01-15 17:04:31
310.1,33.652599,-117.603812,2018-01-15 17:04:35
310.7,33.652637,-117.603797,2018-01-15 17:04:37
311.8,33.652689,-117.603757,2018-01-15 17:04:40
312.8,33.652723,-117.603712,2018-01-15 17:04:43
313.2,33.652741,-117.603702,2018-01-15 17:04:44
313.6,33.652755,-117.603688,2018-01-15 17:04:45
314.6,33.652797,-117.60366,2018-01-15 17:04:48
315.5,33.652837,-117.603644,2018-01-15 17:04:51
316.4,33.652874,-117.603635,2018-01-15 17:04:54
320.0,33.653046,-117.60369,2018-01-15 17:05:07
320.7,33.653079,-117.603723,2018-01-15 17:05:11
321.1,33.65311,-117.603724,2018-01-15 17:05:14
321.4,33.653133,-117.60372,2018-01-15 17:05:16
321.7,33.653158,-117.603709,2018-01-15 17:05:18
321.8,33.65317,-117.603712,2018-01-15 17:05:19
321.8,33.653238,-117.603736,2018-01-15 17:05:24
321.6,33.653252,-117.603735,2018-01-15 17:05:25
321.0,33.653301,-117.603702,2018-01-15 17:05:29
320.6,33.653319,-117.603674,2018-01-15 17:05:31
319.9,33.653348,-117.60364,2018-01-15 17:05:34
319.6,33.653364,-117.603631,2018-01-15 17:05:38
319.4,33.653378,-117.60363,2018-01-15 17:05:41
318.5,33.653481,-117.603652,2018-01-15 17:05:48
318.4,33.653497,-117.60365,2018-01-15 17:05:49
318.4,33.653593,-117.603601,2018-01-15 17:05:55
318.5,33.653669,-117.603578,2018-01-15 17:05:59
318.5,33.653692,-117.603583,2018-01-15 17:06:00
318.3,33.653737,-117.603585,2018-01-15 17:06:02
317.9,33.653803,-117.603551,2018-01-15 17:06:05
316.3,33.653976,-117.60344,2018-01-15 17:06:14
315.0,33.654117,-117.603297,2018-01-15 17:06:22
314.5,33.654205,-117.603206,2018-01-15 17:06:27
313.9,33.654341,-117.603318,2018-01-15 17:06:36
311.8,33.654469,-117.603478,2018-01-15 17:06:45
309.4,33.65452,-117.60366,2018-01-15 17:06:53
307.9,33.654536,-117.603608,2018-01-15 17:06:57
306.7,33.654573,-117.603504,2018-01-15 17:07:04
306.5,33.654594,-117.603526,2018-01-15 17:07:05
306.4,33.654604,-117.603535,2018-01-15 17:07:07
306.2,33.654631,-117.603538,2018-01-15 17:07:09
306.1,33.654655,-117.603517,2018-01-15 17:07:11
305.9,33.654706,-117.603487,2018-01-15 17:07:15
305.4,33.654884,-117.603408,2018-01-15 17:07:25
304.3,33.655003,-117.603238,2018-01-15 17:07:35
304.5,33.655033,-117.603206,2018-01-15 17:07:36
306.0,33.655149,-117.603151,2018-01-15 17:07:45
308.3,33.655336,-117.6031,2018-01-15 17:07:56
310.8,33.655507,-117.603003,2018-01-15 17:08:07
313.8,33.655621,-117.60281,2018-01-15 17:08:19
314.6,33.65562,-117.602738,2018-01-15 17:08:22
316.0,33.655534,-117.602659,2018-01-15 17:08:27
318.0,33.655361,-117.602741,2018-01-15 17:08:37
319.5,33.655175,-117.602731,2018-01-15 17:08:48
321.0,33.655151,-117.602524,2018-01-15 17:08:58
322.4,33.655169,-117.602312,2018-01-15 17:09:08
