#name:Peter's Canyon with Ling and  Almond
#date:2018-01-06
#time:18-50-24
Elevation,Latitude,Longitude,Timestamp
97.0,33.758384,-117.770282,2018-01-06 18:50:24
96.9,33.758397,-117.77027,2018-01-06 18:50:25
96.9,33.75841,-117.770261,2018-01-06 18:50:26
96.9,33.758593,-117.770291,2018-01-06 18:50:35
97.1,33.75863,-117.770318,2018-01-06 18:50:37
97.3,33.758702,-117.770365,2018-01-06 18:50:41
97.4,33.758721,-117.770378,2018-01-06 18:50:42
97.5,33.758737,-117.77039,2018-01-06 18:50:43
97.6,33.758753,-117.770409,2018-01-06 18:50:44
97.8,33.758766,-117.770429,2018-01-06 18:50:45
98.4,33.758831,-117.770511,2018-01-06 18:50:49
98.7,33.75887,-117.770546,2018-01-06 18:50:51
99.1,33.75891,-117.770573,2018-01-06 18:50:53
99.4,33.758954,-117.770586,2018-01-06 18:50:55
100.0,33.759032,-117.770593,2018-01-06 18:50:59
100.5,33.759112,-117.770602,2018-01-06 18:51:03
100.7,33.759152,-117.770604,2018-01-06 18:51:05
101.1,33.759253,-117.770595,2018-01-06 18:51:10
101.4,33.759364,-117.770579,2018-01-06 18:51:15
101.5,33.759511,-117.77053,2018-01-06 18:51:22
101.4,33.759594,-117.770504,2018-01-06 18:51:26
101.3,33.759639,-117.770499,2018-01-06 18:51:28
101.2,33.759661,-117.770493,2018-01-06 18:51:29
100.9,33.759773,-117.77047,2018-01-06 18:51:34
100.4,33.759911,-117.770435,2018-01-06 18:51:40
99.8,33.760093,-117.770388,2018-01-06 18:51:48
99.3,33.760266,-117.770424,2018-01-06 18:51:56
99.1,33.760435,-117.770515,2018-01-06 18:52:04
98.9,33.7606,-117.770515,2018-01-06 18:52:11
98.6,33.760782,-117.770472,2018-01-06 18:52:19
98.7,33.760973,-117.770435,2018-01-06 18:52:27
98.8,33.761043,-117.770431,2018-01-06 18:52:30
98.9,33.761233,-117.770427,2018-01-06 18:52:38
99.4,33.761433,-117.770443,2018-01-06 18:52:47
100.0,33.761627,-117.770507,2018-01-06 18:52:56
99.5,33.761807,-117.77053,2018-01-06 18:53:04
99.1,33.762007,-117.770561,2018-01-06 18:53:13
99.3,33.762197,-117.77057,2018-01-06 18:53:22
99.5,33.762384,-117.770547,2018-01-06 18:53:30
99.3,33.762565,-117.770579,2018-01-06 18:53:38
99.4,33.762717,-117.770601,2018-01-06 18:53:45
99.6,33.762895,-117.770635,2018-01-06 18:53:53
99.7,33.76306,-117.770663,2018-01-06 18:54:00
100.1,33.763253,-117.770668,2018-01-06 18:54:08
100.6,33.763412,-117.770646,2018-01-06 18:54:15
101.0,33.763603,-117.77058,2018-01-06 18:54:24
101.4,33.763762,-117.770463,2018-01-06 18:54:32
102.0,33.763914,-117.770323,2018-01-06 18:54:40
102.6,33.764069,-117.770189,2018-01-06 18:54:49
103.2,33.764232,-117.77009,2018-01-06 18:54:58
104.0,33.764415,-117.770007,2018-01-06 18:55:08
104.4,33.764513,-117.769976,2018-01-06 18:55:13
104.8,33.764698,-117.769945,2018-01-06 18:55:21
104.6,33.764882,-117.769942,2018-01-06 18:55:29
104.3,33.765069,-117.769939,2018-01-06 18:55:37
104.3,33.765261,-117.769913,2018-01-06 18:55:45
104.3,33.765443,-117.769875,2018-01-06 18:55:53
104.5,33.765591,-117.769815,2018-01-06 18:56:00
104.8,33.765772,-117.769758,2018-01-06 18:56:08
105.1,33.76595,-117.769652,2018-01-06 18:56:16
105.3,33.766115,-117.769562,2018-01-06 18:56:24
105.6,33.766273,-117.769441,2018-01-06 18:56:31
106.1,33.766412,-117.769265,2018-01-06 18:56:39
106.7,33.766488,-117.769061,2018-01-06 18:56:47
107.3,33.766537,-117.768869,2018-01-06 18:56:54
107.9,33.766603,-117.768696,2018-01-06 18:57:01
108.6,33.766743,-117.768535,2018-01-06 18:57:09
109.0,33.766856,-117.768396,2018-01-06 18:57:16
109.7,33.766997,-117.768254,2018-01-06 18:57:24
110.7,33.76714,-117.768091,2018-01-06 18:57:33
111.6,33.767267,-117.767938,2018-01-06 18:57:41
112.3,33.767399,-117.767756,2018-01-06 18:57:49
112.5,33.767432,-117.767712,2018-01-06 18:57:51
112.6,33.767446,-117.767691,2018-01-06 18:57:52
113.0,33.767601,-117.767555,2018-01-06 18:58:01
113.1,33.767759,-117.767456,2018-01-06 18:58:09
111.9,33.767931,-117.767318,2018-01-06 18:58:17
112.1,33.768103,-117.767238,2018-01-06 18:58:24
112.4,33.768226,-117.767239,2018-01-06 18:58:31
112.7,33.768409,-117.767277,2018-01-06 18:58:41
112.9,33.768507,-117.76718,2018-01-06 18:58:46
113.4,33.768534,-117.766941,2018-01-06 18:58:54
114.1,33.768676,-117.766772,2018-01-06 18:59:02
115.6,33.768852,-117.766698,2018-01-06 18:59:11
114.6,33.768987,-117.766532,2018-01-06 18:59:21
115.2,33.769149,-117.76642,2018-01-06 18:59:29
116.2,33.769311,-117.766317,2018-01-06 18:59:37
118.0,33.769438,-117.766158,2018-01-06 18:59:45
119.3,33.769481,-117.766096,2018-01-06 18:59:48
120.4,33.769536,-117.76604,2018-01-06 18:59:51
119.5,33.769654,-117.765874,2018-01-06 18:59:59
118.8,33.769743,-117.765663,2018-01-06 19:00:07
117.6,33.76989,-117.765509,2018-01-06 19:00:15
120.2,33.76993,-117.765291,2018-01-06 19:00:23
121.0,33.770057,-117.765129,2018-01-06 19:00:31
122.9,33.770119,-117.765027,2018-01-06 19:00:36
126.0,33.770233,-117.764849,2018-01-06 19:00:45
127.0,33.770289,-117.764646,2018-01-06 19:00:55
127.2,33.770304,-117.764629,2018-01-06 19:00:57
128.0,33.770409,-117.764525,2018-01-06 19:01:03
129.3,33.770571,-117.764407,2018-01-06 19:01:11
130.3,33.77073,-117.764283,2018-01-06 19:01:19
130.8,33.770812,-117.764193,2018-01-06 19:01:24
131.6,33.770978,-117.764067,2018-01-06 19:01:33
132.8,33.771143,-117.763977,2018-01-06 19:01:41
133.7,33.771342,-117.763963,2018-01-06 19:01:50
134.0,33.771525,-117.76394,2018-01-06 19:01:58
134.2,33.771725,-117.763909,2018-01-06 19:02:06
134.4,33.771913,-117.763895,2018-01-06 19:02:14
134.7,33.77208,-117.763886,2018-01-06 19:02:21
135.3,33.772268,-117.763799,2018-01-06 19:02:29
136.1,33.772408,-117.763688,2018-01-06 19:02:36
137.2,33.772504,-117.763577,2018-01-06 19:02:42
139.2,33.772687,-117.76348,2018-01-06 19:02:51
140.4,33.772808,-117.763415,2018-01-06 19:02:57
141.5,33.772994,-117.76338,2018-01-06 19:03:05
142.2,33.773194,-117.763366,2018-01-06 19:03:14
142.8,33.773389,-117.763363,2018-01-06 19:03:22
143.3,33.773579,-117.763376,2018-01-06 19:03:30
143.5,33.773764,-117.76342,2018-01-06 19:03:38
143.5,33.773958,-117.763431,2018-01-06 19:03:46
143.4,33.774079,-117.763382,2018-01-06 19:03:51
143.3,33.774143,-117.763345,2018-01-06 19:03:54
143.1,33.774323,-117.763231,2018-01-06 19:04:02
143.4,33.774491,-117.763152,2018-01-06 19:04:09
144.1,33.774668,-117.76304,2018-01-06 19:04:18
144.6,33.774828,-117.76293,2018-01-06 19:04:26
144.8,33.775001,-117.762833,2018-01-06 19:04:34
144.7,33.775191,-117.762745,2018-01-06 19:04:42
144.8,33.775373,-117.762641,2018-01-06 19:04:50
145.3,33.775511,-117.762513,2018-01-06 19:04:57
146.1,33.775598,-117.762408,2018-01-06 19:05:02
146.9,33.775749,-117.76226,2018-01-06 19:05:10
147.6,33.775897,-117.762126,2018-01-06 19:05:18
148.2,33.776062,-117.762015,2018-01-06 19:05:26
148.4,33.776188,-117.761945,2018-01-06 19:05:32
148.6,33.77635,-117.761841,2018-01-06 19:05:40
149.2,33.776527,-117.761743,2018-01-06 19:05:48
150.1,33.776697,-117.761642,2018-01-06 19:05:56
150.7,33.776805,-117.761566,2018-01-06 19:06:01
151.8,33.776933,-117.761412,2018-01-06 19:06:09
152.5,33.777078,-117.761271,2018-01-06 19:06:18
153.2,33.77723,-117.761137,2018-01-06 19:06:26
153.3,33.777269,-117.761088,2018-01-06 19:06:29
153.4,33.777262,-117.761085,2018-01-06 19:06:31
153.4,33.777247,-117.761097,2018-01-06 19:06:33
153.5,33.777229,-117.761115,2018-01-06 19:06:36
153.6,33.777209,-117.761122,2018-01-06 19:06:43
153.9,33.777302,-117.76104,2018-01-06 19:06:52
154.3,33.777411,-117.76094,2018-01-06 19:06:58
154.9,33.777552,-117.760787,2018-01-06 19:07:07
154.5,33.777399,-117.760671,2018-01-06 19:07:16
154.2,33.777212,-117.760674,2018-01-06 19:07:24
154.3,33.777015,-117.760651,2018-01-06 19:07:32
154.8,33.77682,-117.760679,2018-01-06 19:07:40
155.5,33.776637,-117.760773,2018-01-06 19:07:48
156.3,33.776528,-117.760828,2018-01-06 19:07:53
158.8,33.776375,-117.760884,2018-01-06 19:08:01
163.1,33.776191,-117.760913,2018-01-06 19:08:13
165.3,33.77611,-117.760924,2018-01-06 19:08:18
167.5,33.776013,-117.760942,2018-01-06 19:08:24
168.2,33.775982,-117.760948,2018-01-06 19:08:26
169.2,33.775935,-117.760946,2018-01-06 19:08:29
172.2,33.775814,-117.760953,2018-01-06 19:08:37
176.6,33.775638,-117.760986,2018-01-06 19:08:49
