#name:San Diego run with Jeff
#date:2018-01-09
#time:23-43-56
Elevation,Latitude,Longitude,Timestamp
4.2,32.717796,-117.172934,2018-01-09 23:43:56
4.2,32.717797,-117.172955,2018-01-09 23:43:57
4.0,32.71782,-117.173172,2018-01-09 23:44:05
4.0,32.717841,-117.17323,2018-01-09 23:44:07
4.0,32.717855,-117.173257,2018-01-09 23:44:08
4.0,32.717868,-117.173284,2018-01-09 23:44:09
4.0,32.717899,-117.173338,2018-01-09 23:44:11
4.0,32.717931,-117.17339,2018-01-09 23:44:13
4.0,32.717951,-117.173413,2018-01-09 23:44:14
4.1,32.717972,-117.173435,2018-01-09 23:44:15
4.2,32.718054,-117.173461,2018-01-09 23:44:18
4.0,32.718217,-117.173484,2018-01-09 23:44:24
4.0,32.718243,-117.173484,2018-01-09 23:44:25
4.0,32.718291,-117.173481,2018-01-09 23:44:27
4.1,32.718428,-117.173422,2018-01-09 23:44:32
4.3,32.718616,-117.173395,2018-01-09 23:44:39
4.4,32.718668,-117.173399,2018-01-09 23:44:41
4.4,32.718824,-117.173393,2018-01-09 23:44:47
4.3,32.718987,-117.173389,2018-01-09 23:44:53
4.4,32.719113,-117.173387,2018-01-09 23:44:58
4.4,32.719138,-117.173388,2018-01-09 23:44:59
4.3,32.71921,-117.173391,2018-01-09 23:45:02
4.2,32.719261,-117.173391,2018-01-09 23:45:04
4.2,32.71931,-117.173391,2018-01-09 23:45:06
4.1,32.719336,-117.173391,2018-01-09 23:45:07
4.0,32.719388,-117.173391,2018-01-09 23:45:09
3.8,32.71959,-117.173389,2018-01-09 23:45:17
4.0,32.719765,-117.173424,2018-01-09 23:45:25
4.2,32.719947,-117.173453,2018-01-09 23:45:33
4.4,32.720133,-117.173463,2018-01-09 23:45:41
4.6,32.720315,-117.173473,2018-01-09 23:45:48
4.3,32.720506,-117.173493,2018-01-09 23:45:55
3.8,32.720686,-117.173506,2018-01-09 23:46:01
3.4,32.720881,-117.173522,2018-01-09 23:46:08
3.5,32.721079,-117.173522,2018-01-09 23:46:15
3.9,32.72126,-117.173514,2018-01-09 23:46:21
3.6,32.721451,-117.173503,2018-01-09 23:46:27
3.4,32.721636,-117.173501,2018-01-09 23:46:33
3.4,32.721847,-117.173502,2018-01-09 23:46:40
3.3,32.722028,-117.173494,2018-01-09 23:46:46
3.3,32.722214,-117.173491,2018-01-09 23:46:52
3.4,32.722399,-117.173493,2018-01-09 23:46:58
3.2,32.722605,-117.173466,2018-01-09 23:47:05
3.2,32.722813,-117.173439,2018-01-09 23:47:12
3.1,32.723016,-117.173435,2018-01-09 23:47:19
3.0,32.723222,-117.173435,2018-01-09 23:47:26
3.0,32.723424,-117.173438,2018-01-09 23:47:33
3.2,32.723608,-117.173419,2018-01-09 23:47:39
3.2,32.723808,-117.173452,2018-01-09 23:47:46
3.0,32.724013,-117.173471,2018-01-09 23:47:53
2.9,32.724215,-117.173516,2018-01-09 23:48:00
3.0,32.724418,-117.173555,2018-01-09 23:48:07
2.8,32.724502,-117.173577,2018-01-09 23:48:10
2.6,32.724688,-117.173635,2018-01-09 23:48:16
2.9,32.724862,-117.173709,2018-01-09 23:48:22
3.3,32.725038,-117.173788,2018-01-09 23:48:28
3.2,32.725214,-117.173859,2018-01-09 23:48:34
2.8,32.725364,-117.173983,2018-01-09 23:48:40
2.8,32.725505,-117.174135,2018-01-09 23:48:46
3.1,32.725689,-117.17425,2018-01-09 23:48:52
3.5,32.725872,-117.174348,2018-01-09 23:48:58
3.2,32.72604,-117.17443,2018-01-09 23:49:04
3.4,32.726195,-117.174586,2018-01-09 23:49:11
3.5,32.72634,-117.174719,2018-01-09 23:49:17
3.6,32.72644,-117.1749,2018-01-09 23:49:23
3.5,32.726526,-117.175088,2018-01-09 23:49:29
3.4,32.726645,-117.175253,2018-01-09 23:49:35
3.4,32.726767,-117.175415,2018-01-09 23:49:41
3.1,32.726914,-117.175546,2018-01-09 23:49:47
3.0,32.727001,-117.175742,2018-01-09 23:49:54
3.1,32.727093,-117.175934,2018-01-09 23:50:01
2.9,32.727112,-117.176114,2018-01-09 23:50:06
2.6,32.727134,-117.176329,2018-01-09 23:50:12
2.7,32.727203,-117.176534,2018-01-09 23:50:18
2.9,32.727265,-117.176736,2018-01-09 23:50:24
3.1,32.727365,-117.17691,2018-01-09 23:50:30
3.0,32.727404,-117.177123,2018-01-09 23:50:36
2.3,32.727427,-117.177336,2018-01-09 23:50:42
3.0,32.72746,-117.177574,2018-01-09 23:50:49
3.0,32.727452,-117.177605,2018-01-09 23:50:50
3.0,32.727419,-117.177836,2018-01-09 23:50:57
3.0,32.727429,-117.17805,2018-01-09 23:51:03
3.0,32.727456,-117.178264,2018-01-09 23:51:09
3.2,32.727482,-117.178361,2018-01-09 23:51:12
3.4,32.727474,-117.178606,2018-01-09 23:51:19
3.2,32.727435,-117.178817,2018-01-09 23:51:25
3.5,32.727399,-117.179061,2018-01-09 23:51:32
3.5,32.72737,-117.179277,2018-01-09 23:51:38
3.1,32.727332,-117.179523,2018-01-09 23:51:45
3.0,32.72729,-117.17974,2018-01-09 23:51:51
3.5,32.727245,-117.179976,2018-01-09 23:51:58
3.0,32.727208,-117.180209,2018-01-09 23:52:05
3.5,32.727217,-117.180425,2018-01-09 23:52:11
3.9,32.727248,-117.18059,2018-01-09 23:52:16
5.1,32.727303,-117.180822,2018-01-09 23:52:23
5.4,32.727325,-117.181034,2018-01-09 23:52:29
5.0,32.727331,-117.181255,2018-01-09 23:52:35
4.1,32.727405,-117.181452,2018-01-09 23:52:41
4.7,32.727461,-117.181682,2018-01-09 23:52:48
4.0,32.727515,-117.181891,2018-01-09 23:52:54
3.1,32.727591,-117.1821,2018-01-09 23:53:00
3.3,32.727672,-117.182308,2018-01-09 23:53:06
3.6,32.727769,-117.182491,2018-01-09 23:53:12
3.9,32.727822,-117.182711,2018-01-09 23:53:19
3.9,32.727852,-117.182935,2018-01-09 23:53:25
3.3,32.727931,-117.183141,2018-01-09 23:53:31
3.0,32.728027,-117.18334,2018-01-09 23:53:37
3.0,32.728097,-117.183542,2018-01-09 23:53:43
3.7,32.728151,-117.183779,2018-01-09 23:53:50
3.6,32.728225,-117.183978,2018-01-09 23:53:56
3.5,32.728249,-117.184048,2018-01-09 23:53:58
3.2,32.728292,-117.184261,2018-01-09 23:54:04
3.0,32.728345,-117.184471,2018-01-09 23:54:10
3.0,32.728413,-117.184686,2018-01-09 23:54:16
3.3,32.728487,-117.184889,2018-01-09 23:54:22
3.8,32.728562,-117.185119,2018-01-09 23:54:29
4.0,32.72858,-117.185335,2018-01-09 23:54:35
4.0,32.728613,-117.185553,2018-01-09 23:54:41
4.0,32.728653,-117.185774,2018-01-09 23:54:47
4.0,32.728697,-117.185989,2018-01-09 23:54:53
4.0,32.728711,-117.186205,2018-01-09 23:54:59
4.0,32.728683,-117.186417,2018-01-09 23:55:05
4.0,32.728683,-117.186597,2018-01-09 23:55:10
4.0,32.728707,-117.186835,2018-01-09 23:55:16
4.1,32.728744,-117.187058,2018-01-09 23:55:22
4.2,32.728768,-117.187306,2018-01-09 23:55:29
3.9,32.728771,-117.187553,2018-01-09 23:55:36
3.9,32.728757,-117.18773,2018-01-09 23:55:41
4.0,32.728779,-117.187949,2018-01-09 23:55:48
3.8,32.728768,-117.188162,2018-01-09 23:55:54
4.0,32.728769,-117.188377,2018-01-09 23:56:00
3.9,32.728745,-117.188602,2018-01-09 23:56:07
4.3,32.728749,-117.188847,2018-01-09 23:56:14
4.3,32.728783,-117.189065,2018-01-09 23:56:20
4.5,32.728845,-117.189298,2018-01-09 23:56:27
4.7,32.728841,-117.189517,2018-01-09 23:56:33
4.5,32.728853,-117.189734,2018-01-09 23:56:39
4.3,32.72887,-117.189912,2018-01-09 23:56:44
4.3,32.728874,-117.189948,2018-01-09 23:56:45
4.3,32.728877,-117.189982,2018-01-09 23:56:46
4.3,32.72888,-117.190046,2018-01-09 23:56:48
4.3,32.728862,-117.190214,2018-01-09 23:56:53
4.3,32.728878,-117.190438,2018-01-09 23:56:59
3.8,32.728885,-117.190663,2018-01-09 23:57:05
3.3,32.728899,-117.190883,2018-01-09 23:57:11
4.3,32.728918,-117.1911,2018-01-09 23:57:17
4.8,32.72893,-117.191326,2018-01-09 23:57:23
4.8,32.728935,-117.191543,2018-01-09 23:57:29
4.0,32.728944,-117.191766,2018-01-09 23:57:35
3.9,32.728947,-117.191938,2018-01-09 23:57:40
3.9,32.728941,-117.192012,2018-01-09 23:57:42
3.8,32.728937,-117.192119,2018-01-09 23:57:45
3.9,32.728946,-117.192349,2018-01-09 23:57:51
3.9,32.728945,-117.192462,2018-01-09 23:57:54
3.9,32.728939,-117.192685,2018-01-09 23:58:00
4.8,32.72893,-117.192902,2018-01-09 23:58:06
4.8,32.728923,-117.193128,2018-01-09 23:58:12
4.6,32.72891,-117.193268,2018-01-09 23:58:16
4.4,32.728878,-117.193511,2018-01-09 23:58:23
4.4,32.728889,-117.193665,2018-01-09 23:58:27
4.5,32.728915,-117.193845,2018-01-09 23:58:32
4.6,32.728926,-117.193954,2018-01-09 23:58:35
4.6,32.728926,-117.193991,2018-01-09 23:58:36
4.7,32.728923,-117.194102,2018-01-09 23:58:39
4.7,32.72893,-117.194322,2018-01-09 23:58:45
4.4,32.728955,-117.194567,2018-01-09 23:58:52
4.2,32.728967,-117.194664,2018-01-09 23:58:55
4.2,32.728974,-117.194732,2018-01-09 23:58:57
4.0,32.729033,-117.194919,2018-01-09 23:59:07
4.0,32.729058,-117.194935,2018-01-09 23:59:11
4.0,32.729054,-117.194909,2018-01-09 23:59:14
4.1,32.729048,-117.194873,2018-01-09 23:59:17
4.1,32.729043,-117.194841,2018-01-09 23:59:19
4.3,32.728997,-117.194618,2018-01-09 23:59:33
4.3,32.728994,-117.194586,2018-01-09 23:59:35
4.5,32.728989,-117.194492,2018-01-09 23:59:41
4.7,32.728962,-117.194256,2018-01-09 23:59:52
4.7,32.728949,-117.194006,2018-01-09 23:59:58
