#name:Recovery Orchard Hills with Almond
#date:2018-01-17
#time:00-53-49
Elevation,Latitude,Longitude,Timestamp
71.0,33.73923,-117.764591,2018-01-17 00:53:49
71.0,33.739221,-117.764579,2018-01-17 00:53:50
71.0,33.739148,-117.764528,2018-01-17 00:53:54
71.0,33.739025,-117.764466,2018-01-17 00:54:00
71.0,33.739,-117.764459,2018-01-17 00:54:01
71.0,33.738977,-117.764453,2018-01-17 00:54:02
71.0,33.738954,-117.764442,2018-01-17 00:54:03
71.0,33.738908,-117.764424,2018-01-17 00:54:05
71.0,33.738886,-117.764415,2018-01-17 00:54:06
71.0,33.738844,-117.764395,2018-01-17 00:54:08
71.0,33.73881,-117.764373,2018-01-17 00:54:10
71.0,33.738752,-117.764332,2018-01-17 00:54:13
71.0,33.738734,-117.76432,2018-01-17 00:54:14
71.0,33.738715,-117.76431,2018-01-17 00:54:15
71.0,33.738656,-117.764282,2018-01-17 00:54:18
70.9,33.738636,-117.764271,2018-01-17 00:54:19
70.9,33.738617,-117.764261,2018-01-17 00:54:20
70.9,33.738599,-117.764251,2018-01-17 00:54:21
70.7,33.738538,-117.764222,2018-01-17 00:54:24
70.6,33.738514,-117.764224,2018-01-17 00:54:25
70.6,33.73849,-117.764225,2018-01-17 00:54:26
70.5,33.738467,-117.764221,2018-01-17 00:54:27
70.4,33.738424,-117.764211,2018-01-17 00:54:29
70.2,33.738368,-117.76417,2018-01-17 00:54:32
70.0,33.738302,-117.764027,2018-01-17 00:54:38
70.1,33.738276,-117.76392,2018-01-17 00:54:42
70.6,33.738324,-117.763795,2018-01-17 00:54:48
70.6,33.738321,-117.763776,2018-01-17 00:54:49
71.2,33.738292,-117.763752,2018-01-17 00:54:51
71.2,33.738273,-117.763748,2018-01-17 00:54:52
71.3,33.738092,-117.763699,2018-01-17 00:55:00
71.2,33.737896,-117.763643,2018-01-17 00:55:08
71.0,33.737787,-117.763634,2018-01-17 00:55:15
71.0,33.737786,-117.763627,2018-01-17 00:55:17
70.5,33.737785,-117.763621,2018-01-17 00:55:19
70.4,33.737747,-117.763679,2018-01-17 00:55:37
70.0,33.73774,-117.763725,2018-01-17 00:55:42
69.0,33.737747,-117.763823,2018-01-17 00:55:46
68.8,33.737837,-117.764028,2018-01-17 00:55:54
68.6,33.737829,-117.764092,2018-01-17 00:55:56
68.6,33.737827,-117.764121,2018-01-17 00:55:57
68.5,33.737824,-117.76415,2018-01-17 00:55:58
68.4,33.737819,-117.76418,2018-01-17 00:55:59
68.4,33.737815,-117.764213,2018-01-17 00:56:00
68.3,33.737807,-117.764246,2018-01-17 00:56:01
68.2,33.7378,-117.764276,2018-01-17 00:56:02
68.2,33.737794,-117.764304,2018-01-17 00:56:03
68.0,33.737792,-117.764369,2018-01-17 00:56:05
68.0,33.737822,-117.764416,2018-01-17 00:56:07
68.3,33.737989,-117.764534,2018-01-17 00:56:15
68.3,33.738013,-117.764543,2018-01-17 00:56:16
68.5,33.738188,-117.764618,2018-01-17 00:56:24
68.8,33.738362,-117.764692,2018-01-17 00:56:32
69.0,33.738544,-117.764783,2018-01-17 00:56:41
69.2,33.738626,-117.764825,2018-01-17 00:56:45
69.4,33.738773,-117.764894,2018-01-17 00:56:52
69.7,33.738954,-117.764991,2018-01-17 00:57:01
70.1,33.739127,-117.76511,2018-01-17 00:57:10
70.5,33.739301,-117.765228,2018-01-17 00:57:19
70.8,33.739464,-117.765328,2018-01-17 00:57:27
71.0,33.739637,-117.765418,2018-01-17 00:57:35
71.7,33.739807,-117.765524,2018-01-17 00:57:43
71.8,33.739827,-117.765539,2018-01-17 00:57:44
71.8,33.739846,-117.765554,2018-01-17 00:57:45
71.7,33.739885,-117.765578,2018-01-17 00:57:47
70.9,33.739936,-117.765549,2018-01-17 00:57:50
69.3,33.739979,-117.765456,2018-01-17 00:57:57
69.7,33.739983,-117.765445,2018-01-17 00:57:59
69.3,33.740019,-117.765406,2018-01-17 00:58:03
69.6,33.740193,-117.765368,2018-01-17 00:58:10
69.8,33.740385,-117.765416,2018-01-17 00:58:19
70.1,33.74058,-117.765419,2018-01-17 00:58:27
70.6,33.740768,-117.765402,2018-01-17 00:58:35
70.7,33.740953,-117.765377,2018-01-17 00:58:43
71.2,33.741131,-117.76534,2018-01-17 00:58:51
71.9,33.741322,-117.765299,2018-01-17 00:59:00
72.7,33.741467,-117.765269,2018-01-17 00:59:09
72.8,33.741492,-117.765269,2018-01-17 00:59:11
73.0,33.741695,-117.765251,2018-01-17 00:59:20
73.8,33.741882,-117.765234,2018-01-17 00:59:27
