#name:Hannaford Dr. with Ling
#date:2018-01-18
#time:02-15-18
Elevation,Latitude,Longitude,Timestamp
71.4,33.739122,-117.764689,2018-01-18 02:15:18
71.4,33.739118,-117.764671,2018-01-18 02:15:20
71.4,33.739095,-117.764636,2018-01-18 02:15:22
71.3,33.739076,-117.764604,2018-01-18 02:15:24
71.2,33.739054,-117.764558,2018-01-18 02:15:27
71.0,33.739043,-117.764537,2018-01-18 02:15:28
71.0,33.739027,-117.764517,2018-01-18 02:15:29
71.0,33.738906,-117.764418,2018-01-18 02:15:36
71.0,33.738892,-117.764405,2018-01-18 02:15:37
71.0,33.738877,-117.764392,2018-01-18 02:15:38
71.0,33.738863,-117.764374,2018-01-18 02:15:39
71.0,33.738846,-117.764359,2018-01-18 02:15:40
71.0,33.738826,-117.764349,2018-01-18 02:15:41
71.0,33.738789,-117.764329,2018-01-18 02:15:43
71.0,33.738725,-117.764285,2018-01-18 02:15:46
70.7,33.738544,-117.764177,2018-01-18 02:15:55
70.5,33.738478,-117.764136,2018-01-18 02:15:58
70.3,33.738426,-117.764102,2018-01-18 02:16:01
70.1,33.738356,-117.764063,2018-01-18 02:16:05
70.0,33.738346,-117.763994,2018-01-18 02:16:08
70.5,33.738353,-117.763843,2018-01-18 02:16:14
70.7,33.738368,-117.763787,2018-01-18 02:16:16
71.0,33.738377,-117.763705,2018-01-18 02:16:19
71.1,33.738341,-117.763677,2018-01-18 02:16:21
71.1,33.738316,-117.763671,2018-01-18 02:16:22
71.2,33.738291,-117.763666,2018-01-18 02:16:23
71.3,33.738216,-117.763651,2018-01-18 02:16:26
71.3,33.73819,-117.763647,2018-01-18 02:16:27
71.3,33.738165,-117.763642,2018-01-18 02:16:28
71.2,33.737968,-117.763601,2018-01-18 02:16:36
70.7,33.737869,-117.763642,2018-01-18 02:16:40
70.0,33.737832,-117.763726,2018-01-18 02:16:43
69.0,33.73786,-117.76394,2018-01-18 02:16:50
68.6,33.737844,-117.764098,2018-01-18 02:16:55
68.0,33.737793,-117.764324,2018-01-18 02:17:02
68.2,33.737909,-117.764494,2018-01-18 02:17:09
68.4,33.738097,-117.76458,2018-01-18 02:17:17
68.7,33.738289,-117.764638,2018-01-18 02:17:25
68.9,33.738459,-117.76471,2018-01-18 02:17:33
69.2,33.738621,-117.764812,2018-01-18 02:17:41
69.4,33.738789,-117.764906,2018-01-18 02:17:49
69.7,33.738945,-117.765019,2018-01-18 02:17:57
70.0,33.739107,-117.765128,2018-01-18 02:18:05
70.4,33.73929,-117.765225,2018-01-18 02:18:14
70.7,33.739466,-117.76531,2018-01-18 02:18:22
70.9,33.739629,-117.765411,2018-01-18 02:18:30
71.1,33.739796,-117.765527,2018-01-18 02:18:38
71.1,33.739944,-117.765663,2018-01-18 02:18:46
71.1,33.74008,-117.765829,2018-01-18 02:18:54
71.0,33.740231,-117.765992,2018-01-18 02:19:02
71.1,33.74036,-117.766165,2018-01-18 02:19:09
