#name:Orchard Hills with Ling and Almond
#date:2018-01-24
#time:02-25-11
Elevation,Latitude,Longitude,Timestamp
71.0,33.739078,-117.764537,2018-01-24 02:25:11
71.0,33.73907,-117.764536,2018-01-24 02:25:12
71.0,33.738912,-117.764424,2018-01-24 02:25:21
71.0,33.738874,-117.764402,2018-01-24 02:25:23
71.0,33.738781,-117.764371,2018-01-24 02:25:27
71.0,33.738758,-117.764362,2018-01-24 02:25:28
71.0,33.738734,-117.764352,2018-01-24 02:25:29
71.0,33.738711,-117.764344,2018-01-24 02:25:30
70.7,33.738527,-117.764252,2018-01-24 02:25:39
70.3,33.7384,-117.764191,2018-01-24 02:25:46
70.2,33.738334,-117.764158,2018-01-24 02:25:49
70.1,33.73832,-117.764148,2018-01-24 02:25:50
70.1,33.738321,-117.76412,2018-01-24 02:25:51
70.0,33.738338,-117.763951,2018-01-24 02:25:57
70.2,33.738342,-117.763925,2018-01-24 02:25:58
70.3,33.738345,-117.763901,2018-01-24 02:25:59
70.5,33.738356,-117.763848,2018-01-24 02:26:00
70.6,33.738363,-117.763821,2018-01-24 02:26:02
70.7,33.738372,-117.763762,2018-01-24 02:26:04
70.8,33.738363,-117.763739,2018-01-24 02:26:05
71.1,33.738318,-117.763725,2018-01-24 02:26:07
71.3,33.73815,-117.763695,2018-01-24 02:26:14
71.3,33.738124,-117.763688,2018-01-24 02:26:15
71.3,33.738076,-117.763675,2018-01-24 02:26:17
71.2,33.737972,-117.763647,2018-01-24 02:26:21
71.1,33.737919,-117.763639,2018-01-24 02:26:23
70.7,33.737868,-117.763639,2018-01-24 02:26:25
70.4,33.737784,-117.763668,2018-01-24 02:26:31
70.0,33.737737,-117.76372,2018-01-24 02:26:46
69.0,33.737733,-117.76386,2018-01-24 02:26:54
68.7,33.737828,-117.764051,2018-01-24 02:27:02
68.5,33.737816,-117.764168,2018-01-24 02:27:06
68.1,33.737785,-117.764318,2018-01-24 02:27:11
68.0,33.7378,-117.764429,2018-01-24 02:27:15
68.1,33.737841,-117.764464,2018-01-24 02:27:16
68.3,33.737974,-117.764538,2018-01-24 02:27:23
68.4,33.738113,-117.764591,2018-01-24 02:27:29
68.5,33.738136,-117.764599,2018-01-24 02:27:30
68.7,33.738273,-117.764632,2018-01-24 02:27:36
68.9,33.738437,-117.764716,2018-01-24 02:27:44
68.9,33.738457,-117.764726,2018-01-24 02:27:45
69.2,33.738638,-117.764828,2018-01-24 02:27:54
69.5,33.73882,-117.764936,2018-01-24 02:28:03
69.8,33.739001,-117.765041,2018-01-24 02:28:12
70.0,33.739102,-117.765102,2018-01-24 02:28:17
70.4,33.739275,-117.765223,2018-01-24 02:28:26
70.7,33.739437,-117.765327,2018-01-24 02:28:34
70.9,33.739611,-117.765422,2018-01-24 02:28:42
71.4,33.73976,-117.765549,2018-01-24 02:28:50
71.8,33.739871,-117.765591,2018-01-24 02:28:56
71.7,33.739881,-117.765582,2018-01-24 02:28:59
70.0,33.739958,-117.76547,2018-01-24 02:29:12
69.6,33.739993,-117.76544,2018-01-24 02:29:15
69.3,33.740167,-117.765372,2018-01-24 02:29:24
69.5,33.740347,-117.765432,2018-01-24 02:29:32
69.8,33.740543,-117.765447,2018-01-24 02:29:40
70.4,33.74073,-117.765416,2018-01-24 02:29:48
70.6,33.740916,-117.765401,2018-01-24 02:29:56
70.8,33.74111,-117.765363,2018-01-24 02:30:04
71.2,33.741251,-117.765331,2018-01-24 02:30:10
71.3,33.741274,-117.76533,2018-01-24 02:30:11
71.7,33.741298,-117.765326,2018-01-24 02:30:12
71.9,33.741482,-117.765301,2018-01-24 02:30:21
71.9,33.741489,-117.765298,2018-01-24 02:30:23
72.2,33.741686,-117.765299,2018-01-24 02:30:33
72.7,33.741874,-117.765292,2018-01-24 02:30:41
73.0,33.741971,-117.765271,2018-01-24 02:30:45
73.9,33.742154,-117.765238,2018-01-24 02:30:53
74.7,33.742352,-117.765207,2018-01-24 02:31:02
75.5,33.742552,-117.765168,2018-01-24 02:31:11
76.0,33.742662,-117.765121,2018-01-24 02:31:16
76.8,33.74276,-117.765104,2018-01-24 02:31:22
77.6,33.742957,-117.765051,2018-01-24 02:31:30
78.9,33.743125,-117.764919,2018-01-24 02:31:38
79.6,33.74323,-117.764719,2018-01-24 02:31:46
79.9,33.743365,-117.764554,2018-01-24 02:31:54
80.3,33.743546,-117.764537,2018-01-24 02:32:03
80.3,33.743554,-117.764536,2018-01-24 02:32:05
80.6,33.743643,-117.764556,2018-01-24 02:32:10
81.1,33.74384,-117.764551,2018-01-24 02:32:18
81.7,33.74402,-117.764525,2018-01-24 02:32:26
81.8,33.744047,-117.764525,2018-01-24 02:32:28
82.3,33.744233,-117.764482,2018-01-24 02:32:38
82.7,33.744416,-117.764479,2018-01-24 02:32:46
83.1,33.744603,-117.764461,2018-01-24 02:32:54
83.3,33.744723,-117.764449,2018-01-24 02:33:02
83.4,33.744762,-117.764446,2018-01-24 02:33:05
83.6,33.744962,-117.764412,2018-01-24 02:33:15
83.8,33.745105,-117.764401,2018-01-24 02:33:21
84.3,33.745289,-117.764386,2018-01-24 02:33:29
85.1,33.745485,-117.764356,2018-01-24 02:33:37
86.0,33.745675,-117.764317,2018-01-24 02:33:46
86.5,33.74582,-117.764309,2018-01-24 02:33:53
87.1,33.746022,-117.764298,2018-01-24 02:34:02
87.6,33.746207,-117.764282,2018-01-24 02:34:10
88.1,33.746398,-117.764253,2018-01-24 02:34:18
88.5,33.746587,-117.764222,2018-01-24 02:34:26
88.9,33.746778,-117.764191,2018-01-24 02:34:34
89.5,33.746962,-117.764143,2018-01-24 02:34:42
89.8,33.747144,-117.764064,2018-01-24 02:34:50
90.0,33.747309,-117.763955,2018-01-24 02:34:58
90.4,33.747438,-117.763835,2018-01-24 02:35:05
91.1,33.747548,-117.763709,2018-01-24 02:35:13
91.3,33.747565,-117.763674,2018-01-24 02:35:16
91.4,33.74758,-117.763657,2018-01-24 02:35:17
