#name:Settlers Park with Ling and Almond
#date:2018-01-26
#time:02-41-58
Elevation,Latitude,Longitude,Timestamp
71.5,33.739204,-117.764761,2018-01-26 02:41:58
71.5,33.739195,-117.764745,2018-01-26 02:41:59
71.5,33.739193,-117.76473,2018-01-26 02:42:00
71.5,33.739178,-117.764714,2018-01-26 02:42:01
71.5,33.739165,-117.764698,2018-01-26 02:42:02
71.4,33.739148,-117.764684,2018-01-26 02:42:03
71.4,33.73913,-117.764672,2018-01-26 02:42:04
71.4,33.739113,-117.764661,2018-01-26 02:42:05
71.4,33.739097,-117.76465,2018-01-26 02:42:06
71.4,33.73908,-117.764641,2018-01-26 02:42:07
71.4,33.739064,-117.764628,2018-01-26 02:42:08
71.4,33.739048,-117.764616,2018-01-26 02:42:09
71.4,33.739031,-117.764603,2018-01-26 02:42:10
71.4,33.739012,-117.764591,2018-01-26 02:42:11
71.4,33.738993,-117.764579,2018-01-26 02:42:12
71.0,33.738976,-117.764566,2018-01-26 02:42:13
71.0,33.73896,-117.764553,2018-01-26 02:42:14
71.0,33.738943,-117.764538,2018-01-26 02:42:15
71.0,33.738925,-117.764525,2018-01-26 02:42:16
71.0,33.738909,-117.764512,2018-01-26 02:42:17
71.0,33.738895,-117.764499,2018-01-26 02:42:18
71.0,33.738881,-117.764487,2018-01-26 02:42:19
71.0,33.738866,-117.764475,2018-01-26 02:42:20
71.0,33.738846,-117.764461,2018-01-26 02:42:21
71.0,33.738825,-117.764448,2018-01-26 02:42:22
71.0,33.738804,-117.764434,2018-01-26 02:42:23
71.0,33.738782,-117.764421,2018-01-26 02:42:24
71.0,33.738764,-117.764413,2018-01-26 02:42:25
71.0,33.738745,-117.764401,2018-01-26 02:42:26
71.0,33.738725,-117.764389,2018-01-26 02:42:27
71.0,33.738705,-117.764377,2018-01-26 02:42:28
71.0,33.738683,-117.764365,2018-01-26 02:42:29
71.0,33.738662,-117.764355,2018-01-26 02:42:30
71.0,33.73864,-117.764342,2018-01-26 02:42:31
71.0,33.738619,-117.76433,2018-01-26 02:42:32
70.9,33.738599,-117.76432,2018-01-26 02:42:33
70.9,33.738578,-117.76431,2018-01-26 02:42:34
70.9,33.738558,-117.764298,2018-01-26 02:42:35
70.8,33.738537,-117.764285,2018-01-26 02:42:36
70.8,33.738515,-117.764274,2018-01-26 02:42:37
70.8,33.738492,-117.764264,2018-01-26 02:42:38
70.7,33.738468,-117.764257,2018-01-26 02:42:39
70.6,33.738444,-117.764254,2018-01-26 02:42:40
70.6,33.738421,-117.764243,2018-01-26 02:42:41
70.5,33.7384,-117.764232,2018-01-26 02:42:42
70.5,33.738383,-117.764219,2018-01-26 02:42:43
70.5,33.738376,-117.7642,2018-01-26 02:42:44
70.4,33.738373,-117.764171,2018-01-26 02:42:45
70.3,33.738374,-117.764141,2018-01-26 02:42:46
70.3,33.738376,-117.764108,2018-01-26 02:42:47
70.2,33.73838,-117.764077,2018-01-26 02:42:48
70.2,33.738383,-117.764046,2018-01-26 02:42:49
70.2,33.738384,-117.764017,2018-01-26 02:42:50
70.1,33.738386,-117.763988,2018-01-26 02:42:51
70.0,33.738389,-117.76396,2018-01-26 02:42:52
70.3,33.738394,-117.763932,2018-01-26 02:42:53
70.4,33.738399,-117.763904,2018-01-26 02:42:54
70.4,33.738403,-117.763876,2018-01-26 02:42:55
70.5,33.738403,-117.763848,2018-01-26 02:42:56
70.6,33.738399,-117.763822,2018-01-26 02:42:57
70.7,33.738386,-117.763803,2018-01-26 02:42:58
71.0,33.738365,-117.763794,2018-01-26 02:42:59
71.1,33.738339,-117.763791,2018-01-26 02:43:00
71.1,33.738313,-117.763789,2018-01-26 02:43:01
71.2,33.738287,-117.763785,2018-01-26 02:43:02
71.2,33.738262,-117.76378,2018-01-26 02:43:03
