#name:Peters Canyon stroll with Almond
#date:2018-01-29
#time:16-58-21
Elevation,Latitude,Longitude,Timestamp
90.7,33.757568,-117.771109,2018-01-29 16:58:21
90.7,33.757575,-117.771113,2018-01-29 16:58:22
90.7,33.757585,-117.77112,2018-01-29 16:58:23
90.8,33.757599,-117.771126,2018-01-29 16:58:24
90.8,33.757618,-117.771134,2018-01-29 16:58:25
90.9,33.757638,-117.771143,2018-01-29 16:58:26
91.0,33.75766,-117.771153,2018-01-29 16:58:27
91.0,33.757681,-117.771163,2018-01-29 16:58:28
91.1,33.757703,-117.771174,2018-01-29 16:58:29
91.1,33.757725,-117.771183,2018-01-29 16:58:30
91.2,33.757749,-117.771193,2018-01-29 16:58:31
91.2,33.757771,-117.771203,2018-01-29 16:58:32
91.2,33.757792,-117.771215,2018-01-29 16:58:33
91.3,33.75781,-117.771228,2018-01-29 16:58:34
91.3,33.757828,-117.771239,2018-01-29 16:58:35
91.3,33.757847,-117.77125,2018-01-29 16:58:36
91.3,33.757865,-117.771261,2018-01-29 16:58:37
91.3,33.757881,-117.771274,2018-01-29 16:58:38
91.3,33.757896,-117.771287,2018-01-29 16:58:39
91.4,33.757912,-117.771299,2018-01-29 16:58:40
91.4,33.75793,-117.771309,2018-01-29 16:58:41
91.4,33.757948,-117.771321,2018-01-29 16:58:42
91.4,33.757967,-117.771335,2018-01-29 16:58:43
91.5,33.757985,-117.771348,2018-01-29 16:58:44
91.5,33.758006,-117.771359,2018-01-29 16:58:45
91.6,33.758027,-117.771372,2018-01-29 16:58:46
91.6,33.758048,-117.771383,2018-01-29 16:58:47
91.7,33.758068,-117.771396,2018-01-29 16:58:48
91.8,33.758088,-117.771409,2018-01-29 16:58:49
91.9,33.758109,-117.771419,2018-01-29 16:58:50
91.9,33.758129,-117.771428,2018-01-29 16:58:51
92.0,33.75815,-117.771437,2018-01-29 16:58:52
92.1,33.758171,-117.771445,2018-01-29 16:58:53
92.1,33.75819,-117.771456,2018-01-29 16:58:54
92.2,33.758207,-117.771468,2018-01-29 16:58:55
92.3,33.758222,-117.771476,2018-01-29 16:58:56
92.3,33.758239,-117.771485,2018-01-29 16:58:57
92.4,33.758259,-117.771495,2018-01-29 16:58:58
92.5,33.758279,-117.771506,2018-01-29 16:58:59
92.6,33.758299,-117.771518,2018-01-29 16:59:00
92.6,33.758319,-117.771529,2018-01-29 16:59:01
92.7,33.758341,-117.771541,2018-01-29 16:59:02
92.8,33.75836,-117.771552,2018-01-29 16:59:03
92.8,33.758379,-117.771564,2018-01-29 16:59:04
92.9,33.758398,-117.771574,2018-01-29 16:59:05
92.9,33.758412,-117.771578,2018-01-29 16:59:06
92.9,33.758421,-117.771584,2018-01-29 16:59:07
93.0,33.758431,-117.771592,2018-01-29 16:59:08
93.0,33.758447,-117.771603,2018-01-29 16:59:09
93.0,33.758466,-117.771613,2018-01-29 16:59:10
93.0,33.758486,-117.771628,2018-01-29 16:59:11
93.0,33.758505,-117.771644,2018-01-29 16:59:12
93.0,33.758523,-117.771664,2018-01-29 16:59:13
92.9,33.75854,-117.771686,2018-01-29 16:59:14
92.8,33.75855,-117.771708,2018-01-29 16:59:15
92.8,33.758556,-117.771731,2018-01-29 16:59:16
92.7,33.758557,-117.771757,2018-01-29 16:59:17
92.6,33.758556,-117.771783,2018-01-29 16:59:18
92.5,33.758553,-117.77181,2018-01-29 16:59:19
92.2,33.758551,-117.771836,2018-01-29 16:59:20
92.4,33.758558,-117.771857,2018-01-29 16:59:21
92.5,33.75857,-117.771874,2018-01-29 16:59:22
92.6,33.758587,-117.771887,2018-01-29 16:59:23
92.7,33.758608,-117.771898,2018-01-29 16:59:24
92.8,33.75863,-117.771907,2018-01-29 16:59:25
92.9,33.75865,-117.771918,2018-01-29 16:59:26
93.0,33.758669,-117.771931,2018-01-29 16:59:27
93.1,33.758687,-117.771945,2018-01-29 16:59:28
93.2,33.758704,-117.771961,2018-01-29 16:59:29
