Elevation,Latitude,Longitude,Timestamp
57.9,33.654198,-117.783312,2018-02-03 16:46:16
57.4,33.654213,-117.783318,2018-02-03 16:46:17
57.4,33.654228,-117.783331,2018-02-03 16:46:18
57.3,33.654262,-117.783366,2018-02-03 16:46:19
57.3,33.654262,-117.783366,2018-02-03 16:46:20
57.3,33.654278,-117.783387,2018-02-03 16:46:21
57.2,33.654292,-117.783409,2018-02-03 16:46:22
57.2,33.654304,-117.783432,2018-02-03 16:46:23
57.2,33.65433,-117.78348,2018-02-03 16:46:24
57.2,33.65433,-117.78348,2018-02-03 16:46:25
57.2,33.654342,-117.783502,2018-02-03 16:46:26
57.2,33.654355,-117.783525,2018-02-03 16:46:27
57.2,33.654369,-117.783547,2018-02-03 16:46:28
57.3,33.654399,-117.783593,2018-02-03 16:46:29
57.3,33.654399,-117.783593,2018-02-03 16:46:30
57.3,33.654414,-117.783616,2018-02-03 16:46:31
57.4,33.654441,-117.783662,2018-02-03 16:46:32
57.4,33.654441,-117.783662,2018-02-03 16:46:33
57.4,33.654454,-117.783685,2018-02-03 16:46:34
57.4,33.654468,-117.783707,2018-02-03 16:46:35
57.5,33.654482,-117.783731,2018-02-03 16:46:36
57.5,33.654496,-117.783754,2018-02-03 16:46:37
57.6,33.654523,-117.783802,2018-02-03 16:46:38
57.6,33.654523,-117.783802,2018-02-03 16:46:39
57.7,33.654536,-117.783826,2018-02-03 16:46:40
57.9,33.654561,-117.783875,2018-02-03 16:46:41
57.9,33.654561,-117.783875,2018-02-03 16:46:42
57.9,33.654574,-117.783896,2018-02-03 16:46:43
58.0,33.654591,-117.783912,2018-02-03 16:46:44
58.0,33.654612,-117.783919,2018-02-03 16:46:45
58.0,33.654635,-117.783915,2018-02-03 16:46:46
58.0,33.654679,-117.783894,2018-02-03 16:46:47
58.0,33.654679,-117.783894,2018-02-03 16:46:48
58.0,33.654699,-117.783882,2018-02-03 16:46:49
58.1,33.654741,-117.783855,2018-02-03 16:46:50
58.1,33.654741,-117.783855,2018-02-03 16:46:51
58.1,33.654762,-117.783838,2018-02-03 16:46:52
58.1,33.654806,-117.783806,2018-02-03 16:46:53
58.1,33.654806,-117.783806,2018-02-03 16:46:54
58.1,33.654829,-117.78379,2018-02-03 16:46:55
58.1,33.654874,-117.783761,2018-02-03 16:46:56
58.1,33.654874,-117.783761,2018-02-03 16:46:57
58.1,33.654895,-117.783747,2018-02-03 16:46:58
58.2,33.654918,-117.783734,2018-02-03 16:46:59
58.2,33.654939,-117.783721,2018-02-03 16:47:00
58.2,33.654958,-117.783709,2018-02-03 16:47:01
58.3,33.655001,-117.783679,2018-02-03 16:47:02
58.3,33.655001,-117.783679,2018-02-03 16:47:03
58.3,33.655024,-117.783666,2018-02-03 16:47:04
58.4,33.65507,-117.783638,2018-02-03 16:47:05
58.4,33.65507,-117.783638,2018-02-03 16:47:06
58.4,33.655092,-117.783623,2018-02-03 16:47:07
58.4,33.655132,-117.783595,2018-02-03 16:47:08
58.4,33.655132,-117.783595,2018-02-03 16:47:09
58.5,33.655151,-117.783581,2018-02-03 16:47:10
58.6,33.655192,-117.783554,2018-02-03 16:47:11
58.6,33.655192,-117.783554,2018-02-03 16:47:12
58.6,33.655213,-117.78354,2018-02-03 16:47:13
58.7,33.655256,-117.783513,2018-02-03 16:47:14
58.7,33.655256,-117.783513,2018-02-03 16:47:15
58.8,33.655279,-117.7835,2018-02-03 16:47:16
58.9,33.655328,-117.78348,2018-02-03 16:47:17
58.9,33.655328,-117.78348,2018-02-03 16:47:18
58.9,33.655354,-117.783469,2018-02-03 16:47:19
59.0,33.655382,-117.783457,2018-02-03 16:47:20
59.1,33.655407,-117.783445,2018-02-03 16:47:21
59.1,33.655432,-117.78343,2018-02-03 16:47:22
59.2,33.655455,-117.783418,2018-02-03 16:47:23
59.3,33.655501,-117.783393,2018-02-03 16:47:24
59.3,33.655501,-117.783393,2018-02-03 16:47:25
59.4,33.655521,-117.78338,2018-02-03 16:47:26
59.5,33.65556,-117.783363,2018-02-03 16:47:27
59.5,33.65556,-117.783363,2018-02-03 16:47:28
59.5,33.655577,-117.783352,2018-02-03 16:47:29
59.6,33.655621,-117.783327,2018-02-03 16:47:30
59.6,33.655621,-117.783327,2018-02-03 16:47:31
59.7,33.655642,-117.783316,2018-02-03 16:47:32
59.8,33.655688,-117.783293,2018-02-03 16:47:33
59.8,33.655688,-117.783293,2018-02-03 16:47:34
59.9,33.655712,-117.783281,2018-02-03 16:47:35
60.0,33.65576,-117.783255,2018-02-03 16:47:36
60.0,33.65576,-117.783255,2018-02-03 16:47:37
60.0,33.655782,-117.783239,2018-02-03 16:47:38
60.1,33.655806,-117.783223,2018-02-03 16:47:39
60.1,33.65583,-117.783211,2018-02-03 16:47:40
60.2,33.655881,-117.783182,2018-02-03 16:47:41
60.2,33.655881,-117.783182,2018-02-03 16:47:42
60.3,33.655905,-117.783166,2018-02-03 16:47:43
60.4,33.655954,-117.783136,2018-02-03 16:47:44
60.4,33.655954,-117.783136,2018-02-03 16:47:45
60.4,33.655979,-117.783122,2018-02-03 16:47:46
60.5,33.656026,-117.783094,2018-02-03 16:47:47
