#name:San Diego run with Jeff #2
#date:2018-01-11
#time:15-03-48
Elevation,Latitude,Longitude,Timestamp
4.0,32.717856,-117.172998,2018-01-11 15:03:48
4.0,32.717853,-117.17303,2018-01-11 15:03:49
4.0,32.717846,-117.1731,2018-01-11 15:03:51
4.0,32.717821,-117.173312,2018-01-11 15:03:57
4.0,32.717813,-117.173381,2018-01-11 15:03:59
4.1,32.717807,-117.173443,2018-01-11 15:04:01
4.1,32.717805,-117.173474,2018-01-11 15:04:02
4.1,32.717777,-117.173562,2018-01-11 15:04:06
4.1,32.717757,-117.173566,2018-01-11 15:04:07
4.1,32.717733,-117.173564,2018-01-11 15:04:08
4.2,32.717582,-117.173545,2018-01-11 15:04:14
4.2,32.717557,-117.17354,2018-01-11 15:04:15
4.0,32.717458,-117.173529,2018-01-11 15:04:19
4.0,32.717431,-117.173524,2018-01-11 15:04:20
4.0,32.717402,-117.173523,2018-01-11 15:04:21
4.0,32.717251,-117.173513,2018-01-11 15:04:27
4.0,32.717177,-117.173508,2018-01-11 15:04:30
4.0,32.717129,-117.173505,2018-01-11 15:04:32
4.0,32.717077,-117.173503,2018-01-11 15:04:34
3.1,32.716872,-117.173511,2018-01-11 15:04:42
2.6,32.716677,-117.17347,2018-01-11 15:04:50
4.1,32.716472,-117.173447,2018-01-11 15:04:58
4.2,32.716284,-117.173426,2018-01-11 15:05:05
4.0,32.716089,-117.173403,2018-01-11 15:05:12
4.0,32.715899,-117.173381,2018-01-11 15:05:19
4.0,32.715707,-117.173393,2018-01-11 15:05:26
4.0,32.715526,-117.1734,2018-01-11 15:05:32
4.0,32.715341,-117.173391,2018-01-11 15:05:38
3.4,32.715262,-117.173388,2018-01-11 15:05:41
3.1,32.715055,-117.173366,2018-01-11 15:05:48
3.6,32.714865,-117.173344,2018-01-11 15:05:55
3.8,32.714671,-117.173371,2018-01-11 15:06:02
3.6,32.714482,-117.173387,2018-01-11 15:06:08
3.4,32.714281,-117.173365,2018-01-11 15:06:14
3.0,32.714078,-117.173369,2018-01-11 15:06:20
3.0,32.713896,-117.173369,2018-01-11 15:06:26
2.6,32.713705,-117.173364,2018-01-11 15:06:32
3.4,32.713512,-117.17337,2018-01-11 15:06:38
3.5,32.713392,-117.173377,2018-01-11 15:06:42
2.7,32.713275,-117.173386,2018-01-11 15:06:46
2.5,32.713075,-117.173407,2018-01-11 15:06:53
2.7,32.712895,-117.173413,2018-01-11 15:06:59
2.9,32.712705,-117.17341,2018-01-11 15:07:05
3.0,32.712525,-117.173369,2018-01-11 15:07:11
3.0,32.712351,-117.173287,2018-01-11 15:07:17
2.7,32.712161,-117.173195,2018-01-11 15:07:24
2.5,32.71199,-117.173113,2018-01-11 15:07:30
2.4,32.711798,-117.173031,2018-01-11 15:07:37
2.5,32.711609,-117.172947,2018-01-11 15:07:44
2.3,32.711441,-117.172863,2018-01-11 15:07:50
2.2,32.711358,-117.172821,2018-01-11 15:07:53
2.2,32.711179,-117.172749,2018-01-11 15:07:59
2.4,32.710981,-117.172668,2018-01-11 15:08:06
2.3,32.710808,-117.172588,2018-01-11 15:08:12
2.4,32.710693,-117.172535,2018-01-11 15:08:16
2.4,32.710662,-117.172524,2018-01-11 15:08:17
2.5,32.710574,-117.172488,2018-01-11 15:08:20
2.6,32.710396,-117.172409,2018-01-11 15:08:26
2.7,32.710215,-117.172321,2018-01-11 15:08:32
2.7,32.710155,-117.172292,2018-01-11 15:08:34
2.6,32.709972,-117.172217,2018-01-11 15:08:40
2.5,32.709795,-117.172142,2018-01-11 15:08:46
2.8,32.709599,-117.172081,2018-01-11 15:08:53
2.8,32.70953,-117.172142,2018-01-11 15:08:56
2.7,32.709442,-117.172347,2018-01-11 15:09:02
2.2,32.709351,-117.172578,2018-01-11 15:09:08
2.1,32.70925,-117.172771,2018-01-11 15:09:14
1.6,32.709147,-117.172968,2018-01-11 15:09:20
1.5,32.709063,-117.173184,2018-01-11 15:09:27
0.2,32.709035,-117.173279,2018-01-11 15:09:34
0.3,32.70904,-117.173278,2018-01-11 15:09:36
1.9,32.709072,-117.173176,2018-01-11 15:09:50
2.3,32.709168,-117.172965,2018-01-11 15:09:56
2.1,32.709267,-117.172746,2018-01-11 15:10:02
2.5,32.709365,-117.172531,2018-01-11 15:10:08
3.1,32.709486,-117.172321,2018-01-11 15:10:14
2.7,32.709565,-117.172099,2018-01-11 15:10:20
2.7,32.709551,-117.172065,2018-01-11 15:10:21
2.7,32.709358,-117.171974,2018-01-11 15:10:27
2.6,32.709166,-117.171885,2018-01-11 15:10:33
2.8,32.70901,-117.171734,2018-01-11 15:10:39
2.4,32.708853,-117.171591,2018-01-11 15:10:45
2.5,32.708704,-117.17146,2018-01-11 15:10:51
2.7,32.708583,-117.171285,2018-01-11 15:10:57
2.7,32.708541,-117.171054,2018-01-11 15:11:03
2.6,32.708544,-117.170811,2018-01-11 15:11:09
2.7,32.708551,-117.170576,2018-01-11 15:11:15
2.5,32.708548,-117.170329,2018-01-11 15:11:21
2.7,32.708548,-117.170091,2018-01-11 15:11:27
2.9,32.708534,-117.170023,2018-01-11 15:11:29
3.0,32.708512,-117.169998,2018-01-11 15:11:30
2.9,32.708447,-117.169984,2018-01-11 15:11:32
2.9,32.70833,-117.169997,2018-01-11 15:11:35
3.1,32.708147,-117.170018,2018-01-11 15:11:40
3.0,32.707963,-117.170053,2018-01-11 15:11:45
2.9,32.707765,-117.170093,2018-01-11 15:11:51
2.8,32.707561,-117.17009,2018-01-11 15:11:57
2.8,32.707429,-117.170083,2018-01-11 15:12:01
2.8,32.707256,-117.170017,2018-01-11 15:12:07
2.7,32.707124,-117.16985,2018-01-11 15:12:13
2.7,32.707005,-117.169675,2018-01-11 15:12:19
3.0,32.70689,-117.169489,2018-01-11 15:12:25
3.0,32.706776,-117.169296,2018-01-11 15:12:31
3.0,32.706678,-117.169134,2018-01-11 15:12:36
3.0,32.706656,-117.169106,2018-01-11 15:12:37
3.0,32.706588,-117.169024,2018-01-11 15:12:40
3.0,32.706547,-117.168967,2018-01-11 15:12:42
2.9,32.706486,-117.168881,2018-01-11 15:12:45
2.9,32.706465,-117.16885,2018-01-11 15:12:46
3.0,32.706443,-117.168819,2018-01-11 15:12:47
3.1,32.706318,-117.168641,2018-01-11 15:12:53
3.0,32.706199,-117.168465,2018-01-11 15:12:59
2.9,32.706079,-117.168286,2018-01-11 15:13:05
3.0,32.705956,-117.16809,2018-01-11 15:13:11
3.0,32.705899,-117.167956,2018-01-11 15:13:15
3.0,32.705854,-117.167736,2018-01-11 15:13:21
2.8,32.705901,-117.167505,2018-01-11 15:13:28
2.9,32.706071,-117.167422,2018-01-11 15:13:34
3.0,32.706264,-117.167476,2018-01-11 15:13:40
2.8,32.706405,-117.167638,2018-01-11 15:13:46
2.9,32.706486,-117.167851,2018-01-11 15:13:52
3.0,32.706557,-117.168074,2018-01-11 15:13:58
3.0,32.706691,-117.168259,2018-01-11 15:14:04
3.0,32.706866,-117.168398,2018-01-11 15:14:10
3.0,32.706892,-117.168422,2018-01-11 15:14:11
2.9,32.707036,-117.168596,2018-01-11 15:14:17
2.8,32.707168,-117.168775,2018-01-11 15:14:23
2.7,32.707299,-117.168946,2018-01-11 15:14:29
2.7,32.707428,-117.169124,2018-01-11 15:14:35
2.7,32.707592,-117.169275,2018-01-11 15:14:41
