#name:Final San Diego run
#date:2018-01-13
#time:00-07-57
Elevation,Latitude,Longitude,Timestamp
4.0,32.717867,-117.172868,2018-01-13 00:07:57
4.0,32.717867,-117.172888,2018-01-13 00:07:58
4.0,32.717851,-117.173,2018-01-13 00:08:02
4.0,32.717807,-117.173221,2018-01-13 00:08:08
4.0,32.717785,-117.173407,2018-01-13 00:08:14
4.1,32.717774,-117.173419,2018-01-13 00:08:15
4.1,32.717701,-117.17341,2018-01-13 00:08:19
4.1,32.717679,-117.173407,2018-01-13 00:08:20
4.1,32.717658,-117.173405,2018-01-13 00:08:21
4.1,32.717633,-117.173402,2018-01-13 00:08:22
4.2,32.717583,-117.173398,2018-01-13 00:08:24
4.1,32.717503,-117.173393,2018-01-13 00:08:27
4.0,32.717397,-117.17339,2018-01-13 00:08:31
4.0,32.717378,-117.173394,2018-01-13 00:08:32
4.0,32.717355,-117.173396,2018-01-13 00:08:33
4.0,32.717332,-117.173399,2018-01-13 00:08:34
4.0,32.71726,-117.173414,2018-01-13 00:08:37
4.0,32.717238,-117.173416,2018-01-13 00:08:38
4.0,32.717191,-117.173415,2018-01-13 00:08:40
4.0,32.717166,-117.173414,2018-01-13 00:08:41
4.0,32.716989,-117.173412,2018-01-13 00:08:48
3.4,32.716886,-117.173399,2018-01-13 00:08:52
2.5,32.716834,-117.173395,2018-01-13 00:08:54
2.1,32.716737,-117.173387,2018-01-13 00:08:58
2.1,32.716712,-117.173386,2018-01-13 00:08:59
2.4,32.716685,-117.173386,2018-01-13 00:09:00
2.9,32.71666,-117.173388,2018-01-13 00:09:01
4.0,32.716513,-117.173388,2018-01-13 00:09:07
4.1,32.716464,-117.173386,2018-01-13 00:09:09
4.2,32.716439,-117.173383,2018-01-13 00:09:10
4.2,32.716387,-117.173382,2018-01-13 00:09:12
4.2,32.716339,-117.173382,2018-01-13 00:09:14
4.2,32.71629,-117.173384,2018-01-13 00:09:16
3.8,32.716108,-117.173374,2018-01-13 00:09:24
4.0,32.715921,-117.173379,2018-01-13 00:09:31
4.0,32.715716,-117.173382,2018-01-13 00:09:39
4.0,32.715593,-117.173407,2018-01-13 00:09:44
4.0,32.715556,-117.173619,2018-01-13 00:09:51
4.0,32.715555,-117.173836,2018-01-13 00:09:58
3.9,32.715529,-117.174069,2018-01-13 00:10:05
4.2,32.715509,-117.174293,2018-01-13 00:10:12
4.2,32.715512,-117.174512,2018-01-13 00:10:19
4.2,32.715508,-117.174726,2018-01-13 00:10:26
3.7,32.715515,-117.174951,2018-01-13 00:10:33
4.1,32.715487,-117.175173,2018-01-13 00:10:40
2.8,32.715418,-117.175388,2018-01-13 00:10:48
2.6,32.715346,-117.175615,2018-01-13 00:10:56
2.5,32.715299,-117.17584,2018-01-13 00:11:04
2.3,32.715298,-117.176058,2018-01-13 00:11:11
2.2,32.71532,-117.176284,2018-01-13 00:11:18
2.1,32.715386,-117.176494,2018-01-13 00:11:25
1.8,32.715468,-117.176621,2018-01-13 00:11:33
1.7,32.715473,-117.176617,2018-01-13 00:11:34
2.4,32.715503,-117.176604,2018-01-13 00:11:38
2.3,32.715503,-117.176609,2018-01-13 00:11:40
3.6,32.715529,-117.176439,2018-01-13 00:12:16
3.5,32.715532,-117.176408,2018-01-13 00:12:17
3.4,32.715536,-117.176174,2018-01-13 00:12:25
3.3,32.715529,-117.176062,2018-01-13 00:12:29
3.2,32.715534,-117.175825,2018-01-13 00:12:37
2.9,32.715547,-117.175665,2018-01-13 00:12:42
4.6,32.715559,-117.175432,2018-01-13 00:12:50
3.6,32.715541,-117.175199,2018-01-13 00:12:58
2.6,32.715551,-117.17496,2018-01-13 00:13:06
4.1,32.71558,-117.174736,2018-01-13 00:13:13
4.2,32.715619,-117.174498,2018-01-13 00:13:20
4.2,32.715603,-117.174267,2018-01-13 00:13:27
3.9,32.715593,-117.17405,2018-01-13 00:13:34
4.0,32.715587,-117.173812,2018-01-13 00:13:42
4.0,32.715586,-117.173594,2018-01-13 00:13:50
4.0,32.715561,-117.173433,2018-01-13 00:13:56
3.7,32.715361,-117.173388,2018-01-13 00:14:04
3.1,32.715161,-117.173388,2018-01-13 00:14:12
3.3,32.714973,-117.173377,2018-01-13 00:14:20
3.9,32.714792,-117.17339,2018-01-13 00:14:27
3.9,32.714594,-117.173389,2018-01-13 00:14:34
3.4,32.714415,-117.173359,2018-01-13 00:14:40
3.7,32.714229,-117.173356,2018-01-13 00:14:47
4.0,32.7142,-117.173362,2018-01-13 00:14:48
3.1,32.714027,-117.173412,2018-01-13 00:14:55
