#name:Peter's Canyon (full) with Ling
#date:2018-01-20
#time:16-42-18
Elevation,Latitude,Longitude,Timestamp
92.2,33.758529,-117.771877,2018-01-20 16:42:18
92.3,33.758538,-117.771885,2018-01-20 16:42:19
92.5,33.758578,-117.771898,2018-01-20 16:42:20
92.6,33.758601,-117.771908,2018-01-20 16:42:22
93.1,33.758708,-117.771958,2018-01-20 16:42:27
93.7,33.758817,-117.772022,2018-01-20 16:42:32
94.0,33.758864,-117.772046,2018-01-20 16:42:34
94.3,33.758909,-117.772073,2018-01-20 16:42:35
94.9,33.758998,-117.772136,2018-01-20 16:42:40
95.2,33.759035,-117.772163,2018-01-20 16:42:42
95.3,33.759059,-117.772175,2018-01-20 16:42:43
96.1,33.759199,-117.772257,2018-01-20 16:42:49
96.6,33.759295,-117.772302,2018-01-20 16:42:53
96.9,33.759343,-117.77233,2018-01-20 16:42:54
97.9,33.759514,-117.772433,2018-01-20 16:43:03
98.1,33.759553,-117.772459,2018-01-20 16:43:04
98.5,33.759614,-117.772502,2018-01-20 16:43:08
98.7,33.759657,-117.772525,2018-01-20 16:43:10
98.9,33.759716,-117.772559,2018-01-20 16:43:13
99.1,33.759759,-117.772589,2018-01-20 16:43:14
99.1,33.759759,-117.772589,2018-01-20 16:43:15
99.9,33.759934,-117.772657,2018-01-20 16:43:22
100.8,33.760118,-117.772688,2018-01-20 16:43:29
101.7,33.7603,-117.772742,2018-01-20 16:43:36
102.3,33.760484,-117.772849,2018-01-20 16:43:44
103.1,33.760656,-117.772956,2018-01-20 16:43:52
104.2,33.760832,-117.773001,2018-01-20 16:44:00
104.7,33.760935,-117.77281,2018-01-20 16:44:07
104.1,33.761054,-117.772619,2018-01-20 16:44:14
103.4,33.761196,-117.772441,2018-01-20 16:44:21
102.6,33.761348,-117.772292,2018-01-20 16:44:28
102.1,33.761492,-117.772143,2018-01-20 16:44:35
101.8,33.761619,-117.771968,2018-01-20 16:44:42
101.4,33.761669,-117.771737,2018-01-20 16:44:49
101.0,33.761659,-117.771517,2018-01-20 16:44:56
100.5,33.761677,-117.771279,2018-01-20 16:45:03
99.7,33.761685,-117.771062,2018-01-20 16:45:10
99.6,33.761687,-117.770829,2018-01-20 16:45:18
