#name:OC Chili Winter Trail Race
#date:2018-01-27
#time:16-30-49
Elevation,Latitude,Longitude,Timestamp
273.9,33.650543,-117.602057,2018-01-27 16:30:49
273.9,33.650558,-117.602034,2018-01-27 16:30:50
274.0,33.650574,-117.602013,2018-01-27 16:30:51
274.0,33.650589,-117.601992,2018-01-27 16:30:52
274.0,33.650604,-117.601971,2018-01-27 16:30:53
274.1,33.650632,-117.601931,2018-01-27 16:30:54
274.2,33.650647,-117.601913,2018-01-27 16:30:55
274.2,33.650661,-117.601894,2018-01-27 16:30:56
274.3,33.650729,-117.601828,2018-01-27 16:30:57
274.4,33.650746,-117.601813,2018-01-27 16:30:58
274.4,33.650763,-117.601798,2018-01-27 16:30:59
274.7,33.650835,-117.601741,2018-01-27 16:31:00
274.8,33.650853,-117.601727,2018-01-27 16:31:01
274.8,33.65087,-117.601713,2018-01-27 16:31:02
275.1,33.650935,-117.601662,2018-01-27 16:31:03
275.1,33.650951,-117.601649,2018-01-27 16:31:04
275.3,33.650966,-117.601635,2018-01-27 16:31:05
275.4,33.651026,-117.601585,2018-01-27 16:31:06
275.5,33.651041,-117.601572,2018-01-27 16:31:07
275.6,33.651056,-117.601558,2018-01-27 16:31:08
275.9,33.651113,-117.601509,2018-01-27 16:31:09
275.9,33.651113,-117.601509,2018-01-27 16:31:10
276.0,33.651143,-117.601485,2018-01-27 16:31:11
276.2,33.651207,-117.601446,2018-01-27 16:31:12
276.2,33.651207,-117.601446,2018-01-27 16:31:13
276.4,33.651239,-117.60143,2018-01-27 16:31:14
276.7,33.65131,-117.601403,2018-01-27 16:31:15
276.7,33.65131,-117.601403,2018-01-27 16:31:16
276.7,33.651345,-117.601394,2018-01-27 16:31:17
276.7,33.651417,-117.60137,2018-01-27 16:31:18
276.7,33.651436,-117.601364,2018-01-27 16:31:19
276.7,33.651454,-117.601357,2018-01-27 16:31:20
276.9,33.651527,-117.601321,2018-01-27 16:31:21
276.9,33.651543,-117.601308,2018-01-27 16:31:22
276.9,33.651558,-117.601294,2018-01-27 16:31:23
277.0,33.651611,-117.601225,2018-01-27 16:31:24
277.0,33.651621,-117.601205,2018-01-27 16:31:25
277.1,33.65163,-117.601185,2018-01-27 16:31:26
277.2,33.651662,-117.601104,2018-01-27 16:31:27
277.2,33.651662,-117.601104,2018-01-27 16:31:28
